INPUT:first_title	INPUT:second_title	INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:quality
Кругом враги: показано, как информация с ПК может утечь через блок питания	Эксперт удалённо взломал ПК с помощью блока питания [ВИДЕО]	https://3dnews.ru/1010195	http://4pda.ru/2020/05/07/371129/	Всего две недели назад мы сообщали о том, как хакеры могут украсть данные с компьютера, используя вибрацию корпусных вентиляторов рабочей машины. Разработчик этого метода Мордехай Гури (Mordechai Guri) из Университета имени Давида Бен-Гуриона в Негеве (Израиль) представил иной вариант взлома — через ультразвуковые волны блока питания. Метод позволяет получить данные из физически изолированной, то есть полностью отключённой от сети и прочих периферийных устройств, вычислительной системы. Поскольку для его применения используется блок питания, разработчик назвал метод POWER-SUPPLaY (от англ. power supply — блок питания). Работает он таким же простым образом, как и метод с корпусными вентиляторами. Для его использования не требуется наличие каких-то специальных аппаратных средств. Сначала на компьютер жертвы «подсаживается» вредоносное программное обеспечение. Оно считывает системную информацию, а затем изменяет рабочую нагрузку на центральный процессор, заставляя его повысить нагрузку на блок питания. Хотя пользователь едва может услышать повышение нагрузки, она тем не менее приводит к изменению ультразвуковых частот, которые производит БП. Эти ультразвуковые волны могут считываться с помощью смартфона хакера. Рабочая дистанция до источника звука составляет 5 метров. По словам исследователя, трансформаторы и конденсаторы обычно производят звук в диапазоне частот от 20 кГц до 20 МГц. Это как свист катушки индуктивности, только не слышимый человеческим ухом. Передачу данных с изолированной машины на смартфон Мордехай Гури продемонстрировал на видео. Такой метод, как и вариант с корпусными вентиляторами, нельзя назвать особенно эффективными способами взлома компьютера. По ультразвуковым волнам блока питания можно передать около 50 бит информации в секунду или 22,5 Кбайт в час. Это эквивалент текстового файла, содержащего около 10 000 слов. Ещё одним недостатком является необходимость установки вредоносного программного обеспечения на компьютер жертвы, а также обеспечение доступа к находящемуся рядом с ПК смартфону. Если хакер может получить доступ к этим устройствам, то будет гораздо проще «слить» с них информацию вручную. В то же время Мордехай Гури не ставит перед собой задачей разработку эффективного метода взлома компьютера. Его работа прежде всего предназначена для того, чтобы продемонстрировать возможность различных вариантов взлома. 	Поиском новых способов взлома компьютеров занимаются не только хакеры, но и специалисты в области IT-безопасности — такие исследования помогают им предотвращать утечки данных, а также сообщать производителям железа и софта о потенциальных угрозах. Новая работа учёного из Университета имени Давида Бен-Гуриона в Негеве (Израиль) продемонстрировала, как злоумышленники могут считать информацию с обычного системного блока, используя особенность работы одного из его ключевых компонентов. Новый метод позволяет извлечь данные с автономной системы, задействовав блок питания самого десктопа. Способ окрестили POWER-SUPPLaY, и для его использования нет необходимости в сложном оборудовании. Взлом осуществляется следующим образом: на компьютер жертвы внедряется вредоносное программное обеспечение. Считывая системную информацию, такое приложение изменяет нагрузку на центральный процессор, повышая потребление тока блоком питания, что приводит к изменению частоты ультразвукового «писка», который издают его компоненты. В результате нужные данные передаются своего рода «морзянкой», неслышимой для человеческого уха. Используя смартфон, хакер может считать сигнал, после чего дешифровать его и получить необходимую информацию. Чтобы получить нужные данные, злоумышленнику достаточно находиться на расстоянии до пяти метров от объекта взлома. «Производительность» метода составляет примерно 22,5 Кб в час, что эквивалентно текстовому файлу, содержащему около 10 000 слов. Автор метода Мордехай Гури отмечает, что он не ставил перед собой задачу разработать эффективный способ взлома, а лишь хотел продемонстрировать подобную возможность обхода компьютерной защиты.	OK
Голосуйте за участников фотоконкурса «Кофемания»	ЖФК «Енисей» в гостях сыграет против ЦСКА	https://myslo.ru/club/blog/konkursi-myslo/TQDqvz1xc0uTfz6qV7tCQA	http://www.redyarsk.ru/news/detail.php?id=54394	Началось голосование в нашем фотоконкурсе «Кофемания». Итоги конкурса мы подведём 22 ноября	Женский футбольный «Енисей» сегодня, 16 ноября, в гостях сыграет против команды ЦСКА в рамках 20-го тура Высшего Дивизиона Чемпионата России. Начало встречи в 18:00 по красноярскому времени. Прямая трансляция матча будет на Youtube-канале Женской футбольной лиги . Комментарии (0)	BAD
В Минкультуры хотят ввести должность омбудсмена по противодействию дезинформации	В Минкульте представили новый законопроект о противодействии дезинформации	http://nikvesti.com/news/politics/172268	https://newsone.ua/news/politics/v-minkulte-predstavili-novyj-zakonoproekt-o-protivodejstvii-dezinformatsii-.html	В Министерстве культуры, молодежи и спорта рассматривают возможность введения должности омбудсмена по вопросам информации для противодействия дезинформации. Об этом заявил министр культуры Владимир Бородянский во время встречи с журналистами, пишет hromadske. В ведомстве отметили, что омбудсмен должен мониторить информационное пространство, проверять достоверность информации, рассматривать жалобы на дезинформацию и обращаться в суд, чтобы защитить информационные права граждан. Также омбудсмен может привлекать к работе фактчекинговые организации. В министерстве предлагают не считать дезинформацией критические суждения, сатиру, а также недостоверную информацию о человеке, которая не вредит общественным интересам. Бородянский добавил, что омбудсмен будет мониторить не только контент журналистов, но и информацию из соцсетей, Telegram-каналов и контент из других государств. Президент Украины Владимир Зеленский подписал указ о неотложных мерах по проведению реформ и укреплению государства. В частности до нового года написать законы об уголовной ответственности для журналистов.	"Министр культуры, молодежи и спорта Владимир Бородянский и его первый заместитель Анатолий Максимчук презентовали основные положения нового законопроекта о противодействии дезинформации, над которым сейчас работают в парламенте. Об этом сообщает LB.ua. На встречу пригласили журналистов и редакторов крупнейших украинских медиа, чтобы обсудить ключевые пункты документа. В ведомстве предложили создать должность омбудсмена по вопросам информации. Он будет мониторить информационное пространство, находить фейки и подавать за них в суд. Наказывать за нарушение закона предлагается путем административной и уголовной ответственности. Первая предполагается за одноразовое распространение дезинформации и непубликацию исходных данных о медиа; вторая - за ""систематическое распространение дезинформации"", ее распространение по заказу третьих лиц и вмешательство в работу медиа и подкуп. Бородянский отметил, что одна из идей - создание государственного фонда для поддержки медиа, по образцу Украинского культурного фонда. В министерстве также ожидают, что журналистское сообщество объединится, создаст самоуправленческую организацию, которая разработает стандарты журналистской работы, и выдвинет представителей для обсуждения законопроекта про медиа. Эта организация будет отвечать за присвоение ""индекса достоверности новостей"" и предоставлять статус журналиста. Как сообщал NEWSONE ранее, глава Комитета Верховной Рады по вопросам гуманитарной и информационной политики  Александр Ткаченко заявил, что вопрос цензуры для СМИ в указе президента Владимира Зеленского даже не обсуждается."	OK
С 6 по 8 мая Тверские почтальоны доставят поздравления Президента РФ ветеранам Великой Отечественной войны	Туляки-ветераны ВОВ получат поздравительные открытки от Президента РФ через почтальонов	https://vedtver.ru/news/society/s-6-po-8-maya-tverskie-pochtalony-dostavyat-pozdravleniya-prezidenta-rf-veteranam-velikoy-otechestve/	https://tula.mk.ru/social/2020/05/05/tulyakiveterany-vov-poluchat-pozdravitelnye-otkrytki-ot-prezidenta-rf-cherez-pochtalonov.html	Фото: Почта России С 6 по 8 мая 2020 года сотрудники Почты России в Тверской области доставят ветеранам 12 236 персональных поздравлений от Президента Российской Федерации В.В. Путина с 75-летием Победы в Великой Отечественной войне. Всего по России почтовики доставят более 1 миллиона открыток. На лицевой стороне поздравительной открытки размещены кадры фотохроники Великой Отечественной войны 1941-1945 гг. На оборотной стороне – фрагмент фотографии Н. Ситникова «Салют на Красной площади в честь Победы в Великой Отечественной войне».  Основная задача Тверских почтовиков – вручить поздравления всем получателям без исключения. Если в основной период доставки почтальон не застанет ветерана дома, письмо будет храниться в ближайшем отделении еще месяц, а сотрудник почты в течение этого времени будет регулярно повторять попытки доставки поздравления. Если окажется, что получатель переехал, сотрудники Тверской почты выяснят его новый адрес и перенаправят письмо. Поздравления Президента Российской Федерации перевозят в герметичных емкостях, которые исключают контакты отправлений с людьми вне сортировочных центров. На каждом этапе ведется контроль за состоянием здоровья сотрудников. Работники обеспечены средствами индивидуальной защиты. Отметим, что Почта России предпримет дополнительные меры защиты, чтобы обеспечить санитарно-эпидемиологическую безопасность получателей поздравлений Президента Российской Федерации, в том числе обеспечит доставку без требования росписи в получении. 220 	С 6 по 8 мая 2020 года сотрудники Почты России в Тульской области доставят ветеранам более 12 тысяч персональных поздравлений от главы государства В.В. Путина в честь 75-летней Победы в Великой Отечественной войне. Всего по стране почтовики доставят более 1 миллиона открыток. На лицевой стороне открытки будут изображены кадры военной фотохроники. На оборотной стороне – фрагмент фотографии Н. Ситникова «Салют на Красной площади в честь Победы в Великой Отечественной войне». Если почтальон не застанет ветерана дома, письмо можно будет получить в постовом отделении. Также доставку можно согласовать с работниками почты заранее.	BAD
Прогноз погоды на 8 ноября	Прогноз погоды на 18 ноября	https://asn24.ru/news/top/69929/	https://asn24.ru/news/top/70283/	По информации Амурского ЦГМС, в пятницу, 8 ноября, ночью в отдельных западных районах Амурской области ожидается слабый снег. Ветер северо-западный умеренный. Температура на севере области -16… -21°, в Тындинском и Сковородинском районах местами до -27°, на юге области -10… -15°, местами при прояснении до -20°.Днем по области без осадков. Ветер северо-западный 9-14 метров в секунду. Температура на севере области -6… -11°, на юге -4… -9°.В Благовещенске ночью переменная облачность, слабый снег. Ветер северо-западный 6-11 метров в секунду. Температура -10… -12°. Днем небольшая облачность, без осадков. Ветер северо-западный 7-12 метров в секунду. Температура около -5°.	По информации Амурского ЦГМС, в понедельник, 18 ноября, по области ночью будет облачно с прояснениями, пройдет снег. Ветер северный, северо-восточный 6-11 метров в секунду, местами с порывами до 15 метров в секунду. Температура ночью -14… -19°, местами до -29°.Днем облачно, по северу местами снег, в отдельных районах сильный, по югу сильный снег, местами слабая метель. Ветер северный, северо-западный 7-12 метров в секунду, местами с порывами до 15-18 метров в секунду. Температура -8… -13°, местами до -23°.В Благовещенске ночью облачно, снег. Ветер северо-восточный 6-11 метров в секунду. Температура до -16°. Днем облачно, сильный снег. Ветер северо-западный 7-12 метров в секунду. Температура около -12°.	BAD
Смоделирован пик заражения коронавирусом в России	Вирусолог объяснил пользу массового тестирования на антитела к коронавирусу в Москве	https://lenta.ru/news/2020/05/17/pik/	https://riafan.ru/1277276-virusolog-obyasnil-polzu-massovogo-testirovaniya-na-antitela-k-koronavirusu-v-moskve	Ученые представили две модели прогноза заражения коронавирусом в России. Об этом сообщает принадлежащее Григорию Березкину издание РБК. Согласно модели разработчика аналитических продуктов Megaputer Intelligence, пик заражения коронавирусом уже наступил в Центральном, Приволжском и Северо-западном федеральных округах, а также в ряде регионов Дальнего Востока. Согласно реалистичному сценарию, в Московской области пиковое значение ежедневного прироста новых случаев было достигнуто 12 мая, а в Москве — 6 мая. Есть и пессимистичный сценарий — в столице пика можно ожидать 26 мая, когда может быть зафиксировано 6,2 тысячи новых случаев за сутки. По данным специалистов из Уфимского авиационного университета и Башкирского медицинского университета, пик в России был пройден 8-9 мая, когда в стране каждые сутки фиксировались более 10 тысяч новых случаев. Ранее глава РоспотребнадзораАнна Поповазаявила, что в России, по состоянию на 17 мая, остановился рост распространения коронавируса. По ее словам, стабилизация отмечается по всей стране. Как свидетельствует статистика оперативного штаба, в России вторые сутки подряд фиксируется менее 10 тысяч случаев распространения коронавируса. Так, 16 мая за сутки было выявлено 9200 новых случаев COVID-19, 17 мая медики отчитались о 9709 зараженных. 15 мая сообщалось о 10 598 новых случаев заражения коронавирусом. 	Москва, 17 мая. Массовое тестирование на антитела к коронавирусу в Москве позволит собрать уникальную статистику, которой к настоящему моменту не обладают другие страны. Об этом заявил ведущий научный сотрудник Института клинической и экспериментальной медицины Александр Чепурнов. 15 мая в Москве стартовало бесплатное тестирование на антитела к коронавирусу. Массовое тестирование жителей столицы поможет организовывать работу медучреждений, а также даст дополнительную информацию для принятия решений об отмене ограничений из-за коронавируса, передает Nation News. Напомним, в декабре 2019 года в китайском городе Ухань началась массовая эпидемия пневмонии. Позднее специалисты выяснили, что источником заболевания стал новый штамм коронавируса — SARS-CoV-2. В настоящее время количество зараженных во всем мире достигает 4,6 миллиона человек. Заболевание унесло жизни более 311 тысяч человек. В России зафиксировано более 280 тысяч случаев коронавирусной инфекции, 2,6 тысячи человек умерли. 67 тысяч человек полностью выздоровели и были выписаны из больниц. С учетом риска распространения заболевания в большинстве регионов России действует режим самоизоляции. Гражданам запрещено покидать свои дома, за исключением особых случаев. Многие эксперты выражают уверенность, что власти США причастны к созданию и распространению коронавирусной инфекции. Об этом также свидетельствуют контейнеры с пометкой «Бактериологическая опасность», найденные на территории бывшего консульства США в китайском городе Ухань. 	BAD
Полицейскими задержана жительница Ковдорского района, нанесшая ножевое ранение бывшему сожителю	Тело годовалого сына нашел в кроватке отец в Подмосковье	https://www.mvestnik.ru/newslent/policejskimi-zaderzhana-zhitelnica-kovdorskogo-rajona-nanesshaya-nozhevoe-ranenie-byvshemu-sozhitelyu/	https://news-r.ru/news/moscow/478342/	В отдел полиции из медицинского учреждения поступило сообщение о госпитализации 38-летнего жителя Ковдора с проникающим колото-резаным ранением грудной клетки. Телесное повреждение, полученное пострадавшим, расценивается как причинившее тяжкий вред здоровью. Сотрудниками патрульно-постовой службы была установлена и доставлена в дежурную часть подозреваемая в совершении данного преступления. 36-летняя злоумышленница созналась в содеянном и рассказала полицейским, что пришла в квартиру к бывшему сожителю за своими личными вещами. Между женщиной и мужчиной возник словесный конфликт, переросший в драку, в ходе которой подозреваемая схватила нож и ударила им потерпевшего в грудь. По факту умышленного причинения тяжкого вреда здоровью возбуждено уголовное дело по части 2 статьи 111 УК РФ. Санкцией данной статьи предусмотрено наказание в виде лишения свободы на срок до десяти лет. Пресс-служба УМВД России по Мурманской области (по информации МО МВД России «Полярнозоринский») 	По факту смерти ребенка возбуждено уголовное дело Москва, 18 мая. Трагедия случилась 16 мая в Коломне. 28-летний мужчина обнаружил мертвым собственного сына в кроватке на съемной квартире. Днем отец вернулся с работы. Матери ребенка в квартире не оказалось, а в кроватке лежал малыш без признаков жизни, сообщает РЕН ТВ. По предварительным данным, ребенок умер от удушения. Сейчас в обстоятельствах гибели малыша занимаются следственные органы. По данному факту возбуждено уголовное дело по статье «Убийство». Официальных комментариев по факту обнаружения тела младенца пока не поступало. Ранее «Регион online» сообщал о том, что жертвой коронавирусной инфекции стал маленький ребенок в Москве. Во вторник, 12 мая, трехлетнего жителя 2-го Верхнего Михайловского проезда госпитализировали в Морозовскую больницу с острой зубной болью, но тест на вирус оказался положительным. 	BAD
YouTube-канал US Open покажет полуфинал 2010 года Винус Уильямс и Ким Клийстерс	YouTube-канал Australian Open показывает полуфинал 2012 года между Джоковичем и Марреем	https://gotennis.ru/read/news/youtube-kanal_us_open_pokazhet_polufinal_2010_goda_vinus_uilyams_i_kim_klijisters.html	https://gotennis.ru/read/news/youtube-kanal_australian_open_pokazyvaet_polufinal_2012_goda_mezhdu_dzhokovichem_i_marreem.html	Официальный канал US Open в YouTube покажет полуфинальный матч турнира 2010 года между Винус Уильямс и Ким Клийстерс. Трансляция началась в 20:00 по московскому времени и будет доступна на постоянной основе.	Официальный канал Australian Open в YouTube показывает полуфинальный матч турнира 2012 года между Новаком Джоковичем и Энди Марреем. Трансляция началась в 13:00 по московскому времени и будет доступна на постоянной основе.	BAD
ЛИППИ: «Мы можем послать зонд на Марс, но не можем создать вакцину?»	Липпи: «От нынешней ситуации меня просто тошнит	https://sport.ua/news/488072-lippi-my-mozhem-poslat-zond-na-mars-no-ne-mozhem-sozdat-vaktsinu	https://footballhd.ru/allnews/italianews/300643-lippi-ot-nyneshney-situacii-menya-prosto-toshnit.html	Экс-главный тренер сборной Италии Марчелло Липпи недоумевает, почему сейчас не возобновляется Серия А. «Нынешняя ситуация меня просто бесит. Каждый день мы слышим, что должны быть все заодно, но потом, каждый делает, что хочет, включая ученых и политиков. Сейчас 2020 год, мы можем послать зонд на Марс, но не можем выработать вакцину против коронавируса? Почему не позволить возобновить футбол? Сейчас уже не так, как было два месяца назад, когда бушевал настоящий цунами. Сейчас вирус не так силен, и больницы могут организовать работу», - сказал Липпи. Напомним, что в Италии с 18 мая клубам разрешили проводить полноценные групповые тренировки. Источник — Football-Italia 	По признанию тренера, под руководством которого, напомним, «скуадра адзурра» выиграла чемпионат мира 2006 года, он не понимает, почему в стране нельзя возобновить футбол. «От нынешней ситуации меня просто тошнит, это меня бесит. Каждый день мы слышим, что должны быть все заодно, но потом, каждый делает, что хочет, включая ученых и политиков.Сейчас 2020 год, мы можем послать зонд на Марс, но не можем выработать вакцину против коронавируса? Почему не позволить возобновить футбол? Сейчас уже не так, как было два месяца назад, когда бушевал настоящий цунами. Сейчас вирус не так силен, и больницы могут организовать работу. Насчет футбола сейчас много демагогии. Это огромная индустрия, и к нему нужно относиться именно так», - цитирует Липпи Football Italia. 	OK
В Испании впервые за два месяца жертв коронавируса за сутки менее 100 человек	В Италии зафиксирован новый минимум суточных потерь от коронавируса с начала карантина	https://www.capital.ua/ru/news/141543-v-ispanii-vpervye-za-dva-mesyatsa-zhertv-koronavirusa-za-sutki-menee-100-chelovek	https://gordonua.com/news/worldnews/v-italii-zafiksirovan-novyy-minimum-sutochnyh-poter-ot-koronavirusa-s-nachala-karantina-1500230.html	По меньшей мере 87 человек умерли за сутки в Испании из-за нового коронавируса. Об этом сообщил в воскресенье Минздрав королевства. Впервые за два месяца данный показатель опустился ниже 100. 16 мая было объявлено о 102 умерших. Антирекорд по смертности зарегистрировали в Испании 1 апреля: тогда за 24 часа умерли 950 пациентов. Общее количество летальных исходов с начала распространения инфекции в стране достигло 27 650. За день был выявлен 421 новый заболевший, общее число инфицированных, обнаруженных при помощи ПЦР-тестов, достигло 231 350. Выздоровели 149 576 пациентов, этот показатель за день вырос на 2 719. С 11 мая половина населения королевства перешла на новую фазу ослабления мер, введенных из-за пандемии. На этом этапе разрешены встречи с близкими, открываются с определенными ограничениями террасы кафе и баров, отели, музеи. Тем не менее пока к такому ослаблению оказались не готовы, в частности, ни Мадрид, ни Барселона. 	За прошедшие сутки в Италии от коронавируса скончались 145 человек (на восемь меньше, чем днем ранее). Об этом свидетельствуют данные министерства здравоохранения Италии, опубликованные 17 мая. Это минимальные суточные потери в стране с 8 марта, когда за день умерли 133 человека. Общее количество жертв эпидемии достигло 31 908 человек. За последние сутки вылечилось 2366 пациентов, общее число выздоровевших достигло 125 176. Продолжает болеть 68 351 человек (-1836). Издание La Repubblica подчеркивает, что количество активных случаев COVID-19 опустилось ниже 70 тыс. впервые с 28 марта. В терапевтических отделениях лечение проходят 10 311 пациентов (-89), в отделениях интенсивной терапии – 762 (-13). Еще 57 278 человек лечатся в домашних условиях (-1734). Общее количество подтвержденных случаев заражения (с учетом умерших и выздоровевших) составляет 225 435 (+675). Вспышка коронавирусной инфекции COVID-19 началась в конце 2019 года в Китае. 11 марта 2020 года Всемирная организация здравоохранения объявила распространение коронавируса пандемией. По данным американского Университета Джонса Хопкинса, общее количество инфицированных в мире превысило 4,66 млн человек, из них более 312 тыс. умерли, 1,71 млн выздоровели. 	BAD
В Воркуте подтвердили новые случаи заболевания коронавирусом	У сотрудницы ростовского завода «ТАВР» подтвердился коронавирус	https://www.bnkomi.ru/data/news/111802	https://donday.ru/u-sotrudnicy-rostovskogo-zavoda-tavr-podtverdilsja-koronavirus.html	Как сообщили БНК в администрации Воркуты, всего с начала наблюдений в городе выявлено шесть случаев заражения коронавирусом. На 17 мая прирост составил четыре человека. Это лица из числа тех, кто находился под наблюдением. В пресс-службе администрации города заявили, что более подробной информацией о том, у кого был подтвержден коронавирус, они не обладают. Напомним, первый случай заболевания коронавирусом в Воркуте зафиксировали в марте. В середине апреля пациента выписали. Второй случай был обнаружен 28 апреля у пациента, который ранее был под наблюдением. Он уже здоров с 7 мая. Как ране сообщал мэр города Игорь Гурьев, у троих работников «Северной алмазной компании» первый тест на коронавирус был положительный. Кроме того, в майские праздники в Воркуту прибыла семья из Подмосковья. Первые пробы на коронавирус у них положительные. Еще один гражданин приехал из южного региона, где была вспышка коронавируса. 9 мая стало известно, что он заболел. Мужчина госпитализирован в инфекционную больницу. 	У сотрудницы ростовского колбасного завода «ТАВР» подтвердился коронавирус. Об этом сообщает источник DonDay.ru. По данным источника, 60-летняя женщина трудится на складе готовой продукции. 14 мая она, как обычно, пришла на работу, однако на предприятие ее не пустили. Во время проверки на проходной у нее обнаружили признаки коронавируса. Позже сотрудница получила положительный результат теста. – В настоящее время выявлены восемь человек, которые контактировали с заболевшей. Их отправили на двухнедельный карантин, – рассказал источник. Контактировавшие сдали анализы. Результаты тестов пока неизвестны. По данным на 17 мая, в Ростовской области зарегистрировано 2 427 случаев заражения коронавирусом. 19 заболевших COVID-19 находятся в тяжелом состоянии. За весь период 797 пациентов выздоровели. Число жертв коронавируса достигло 31. Случаи заражения коронавирусом на мясных и колбасных комбинатах – не редкость во многих странах. Иностранные СМИ пишут, что очаги распространения COVID-19 были выявлены на нескольких предприятиях во Франции. 36 сотрудников заразились коронавирусом на мясокомбинате в городе Орлеан, шесть – на комбинате в Кот-д’Арморе, 11 – на птицефабрике в городе Вандее. Около пяти тысяч таких случаев заражения зарегистрировано в США, 900 – в Канаде. Во Франции специалисты считают, что вспышки заболевания на заводах связаны с тем, что здесь сложно соблюдать социальную дистанцию и другие меры предосторожности. Бороться с такими случаями нужно, по их мнению, ужесточением санитарных норм: обязательным ношением масок, использованием дезинфектантов. Теги: коронавирус в Ростовской областиCOVID-19 	BAD
В Астраханской области COVID-19 имеют уже 1065 человек	В России за сутки у 9709 человек подтвердился коронавирус	https://ast.mk.ru/social/2020/05/17/v-astrakhanskoy-oblasti-covid19-imeyut-uzhe-1065-chelovek.html	https://www.newsvl.ru/covid19/2020/05/17/190162/	В Астраханской области увеличивается количество зараженных коронавирусной инфекцией. Так, по данным регионального министерства, на утро 17 мая положительный тест на COVID-19 имеют 1065 человек. Прирост за сутки составил +36 человек. Стоит отметить, что последние два дня коэффициент распространения коронавирусной инфекции на территории Астраханской области остановился на отметке 1.0. 	За последние сутки в России выявлено 9709 заболевших новой коронавирусной инфекцией в 85 регионах. При этом выписано по выздоровлению 4207 человек, сообщает стопкоронавирус.рф. Всего в стране выявлено 281 752 заболевших в 85 регионах, а число выздоровевших пациентов увеличилось до 67 373 человек. Также за сутки зафиксировано 94 летальных случая. За весь период в России от коронавируса скончался 2631 человек. Напомним, в Приморье за последние сутки выявили 71 случай заболевания коронавирусом. Всего в крае с начала пандемии подтверждено 1268 случаев, 399 пациентов выздоровели, 12 скончались. Самое важное в Telegram-канале Новостей VL.ru  Подписывайтесь на Новости VL.ru в Instagram Рубрика: КоронавирусИсточник — стопкоронавирус.рф 	BAD
